,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Median Home Rent,Median Monthly Owner Costs,Name,Zipcode
30780,38.1,13269.0,1617.0,47271.0,25898.0,1186.0,1987.0,ZCTA5 93433,93433
30781,30.1,7123.0,1415.0,47518.0,14851.0,1019.0,1624.0,ZCTA5 93434,93434
30782,34.0,54433.0,10073.0,52032.0,22926.0,1007.0,1923.0,ZCTA5 93436,93436
30783,23.2,3693.0,409.0,65142.0,20830.0,1597.0,,ZCTA5 93437,93437
30784,42.1,1680.0,239.0,63177.0,31803.0,982.0,2217.0,ZCTA5 93440,93440
30785,52.1,1212.0,200.0,84773.0,50987.0,1294.0,2898.0,ZCTA5 93441,93441
30786,50.7,10896.0,1428.0,51010.0,33140.0,1261.0,2208.0,ZCTA5 93442,93442
30787,39.2,19712.0,2058.0,61751.0,28085.0,1389.0,2243.0,ZCTA5 93444,93444
30788,36.4,7248.0,1389.0,43367.0,19220.0,1001.0,1810.0,ZCTA5 93445,93445
30789,39.4,43356.0,4600.0,62529.0,32632.0,1124.0,2133.0,ZCTA5 93446,93446
30790,51.9,7746.0,557.0,65859.0,39375.0,1355.0,2316.0,ZCTA5 93449,93449
30791,25.7,791.0,156.0,40469.0,12703.0,690.0,967.0,ZCTA5 93450,93450
30792,34.1,4212.0,721.0,55670.0,25361.0,1205.0,2041.0,ZCTA5 93451,93451
30793,39.4,609.0,71.0,38333.0,19782.0,1066.0,1472.0,ZCTA5 93452,93452
30794,42.5,3575.0,459.0,58190.0,29267.0,1254.0,2070.0,ZCTA5 93453,93453
30795,33.3,36509.0,6472.0,50912.0,22739.0,1134.0,1864.0,ZCTA5 93454,93454
30796,40.6,42919.0,2776.0,69602.0,30745.0,1552.0,2073.0,ZCTA5 93455,93455
30797,26.0,55651.0,13723.0,44209.0,14083.0,1093.0,1773.0,ZCTA5 93458,93458
30798,50.3,5348.0,233.0,96071.0,56054.0,1735.0,3149.0,ZCTA5 93460,93460
30799,31.4,1589.0,231.0,63750.0,26442.0,1184.0,1475.0,ZCTA5 93461,93461
30800,50.4,7822.0,598.0,66146.0,44414.0,1451.0,3389.0,ZCTA5 93463,93463
30801,42.4,9738.0,849.0,80884.0,35409.0,1200.0,2618.0,ZCTA5 93465,93465
30802,36.0,5411.0,2179.0,30250.0,16260.0,622.0,1061.0,ZCTA5 93501,93501
30803,37.2,13324.0,3024.0,51238.0,22300.0,898.0,1232.0,ZCTA5 93505,93505
30804,44.9,7216.0,872.0,85096.0,32998.0,1764.0,2818.0,ZCTA5 93510,93510
30805,63.3,143.0,34.0,16625.0,18722.0,,,ZCTA5 93512,93512
30806,48.3,1541.0,207.0,44583.0,25978.0,910.0,1688.0,ZCTA5 93513,93513
30807,46.7,14250.0,1617.0,51218.0,29460.0,865.0,1862.0,ZCTA5 93514,93514
30808,44.1,2347.0,695.0,35872.0,16612.0,716.0,921.0,ZCTA5 93516,93516
30809,54.8,591.0,25.0,61940.0,34192.0,930.0,1879.0,ZCTA5 93517,93517
30810,53.9,1131.0,162.0,45382.0,32729.0,588.0,1600.0,ZCTA5 93518,93518
30811,74.0,89.0,23.0,22083.0,19882.0,,,ZCTA5 93519,93519
30812,,15.0,0.0,,,,,ZCTA5 93522,93522
30813,26.0,2926.0,436.0,52569.0,21337.0,1045.0,1049.0,ZCTA5 93523,93523
30814,22.0,454.0,0.0,,21790.0,,,ZCTA5 93524,93524
30815,50.1,713.0,65.0,58958.0,28995.0,773.0,1301.0,ZCTA5 93526,93526
30816,47.1,2125.0,476.0,52170.0,38910.0,850.0,1181.0,ZCTA5 93527,93527
30817,71.6,49.0,0.0,,15180.0,,,ZCTA5 93528,93528
30818,34.5,419.0,0.0,39760.0,26051.0,858.0,,ZCTA5 93529,93529
30819,60.3,56.0,5.0,28333.0,14946.0,,,ZCTA5 93530,93530
30820,53.5,409.0,16.0,82622.0,47454.0,,2158.0,ZCTA5 93531,93531
30821,41.5,2476.0,248.0,62688.0,28375.0,1338.0,1736.0,ZCTA5 93532,93532
30822,32.9,39563.0,10587.0,35892.0,17811.0,935.0,1441.0,ZCTA5 93534,93534
30823,30.1,73606.0,17900.0,44399.0,16269.0,1143.0,1404.0,ZCTA5 93535,93535
30824,35.8,69988.0,8874.0,70577.0,26042.0,1217.0,1968.0,ZCTA5 93536,93536
30825,30.6,766.0,2.0,54643.0,18728.0,1099.0,1080.0,ZCTA5 93541,93541
30826,35.1,13251.0,1910.0,56279.0,18061.0,1471.0,1499.0,ZCTA5 93543,93543
30827,60.2,944.0,20.0,51750.0,45260.0,,1822.0,ZCTA5 93544,93544
30828,40.6,2214.0,400.0,32473.0,18444.0,710.0,1579.0,ZCTA5 93545,93545
30829,35.1,9681.0,893.0,70607.0,28253.0,1217.0,2680.0,ZCTA5 93546,93546
30830,46.4,364.0,20.0,44261.0,32279.0,,832.0,ZCTA5 93549,93549
30831,26.8,74561.0,24111.0,38316.0,14144.0,994.0,1542.0,ZCTA5 93550,93550
30832,37.9,50306.0,3293.0,80663.0,30370.0,1582.0,2225.0,ZCTA5 93551,93551
30833,27.7,39943.0,6228.0,56163.0,15921.0,1458.0,1687.0,ZCTA5 93552,93552
30834,47.8,2242.0,305.0,50132.0,24091.0,833.0,2246.0,ZCTA5 93553,93553
