,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18474,34.4,7909.0,1052.0,88981.0,75977.0,6264.0,221.0,1471.0,2211.0,ZCTA5 55401,55401
18475,30.1,309.0,85.0,51573.0,43323.0,203.0,0.0,1258.0,-666666666.0,ZCTA5 55402,55402
18476,32.7,16245.0,3919.0,40614.0,47827.0,10889.0,839.0,831.0,2173.0,ZCTA5 55403,55403
18477,30.8,27028.0,9456.0,24611.0,20864.0,12704.0,1887.0,723.0,1611.0,ZCTA5 55404,55404
18478,30.8,16440.0,2875.0,51781.0,42417.0,10213.0,462.0,841.0,2241.0,ZCTA5 55405,55405
18479,37.9,32904.0,4131.0,62497.0,35674.0,20027.0,950.0,866.0,1500.0,ZCTA5 55406,55406
18480,32.3,39903.0,8121.0,52304.0,24877.0,21218.0,1690.0,918.0,1457.0,ZCTA5 55407,55407
18481,29.6,31579.0,5775.0,50475.0,34561.0,21142.0,1075.0,932.0,1731.0,ZCTA5 55408,55408
18482,36.6,11701.0,1102.0,69777.0,40137.0,7368.0,315.0,1029.0,1534.0,ZCTA5 55409,55409
18483,40.4,19862.0,1003.0,104438.0,58856.0,11440.0,584.0,1149.0,2222.0,ZCTA5 55410,55410
18484,25.9,30703.0,10185.0,33578.0,15425.0,11584.0,2393.0,915.0,1242.0,ZCTA5 55411,55411
18485,33.5,22203.0,6248.0,42026.0,20600.0,10145.0,1212.0,928.0,1198.0,ZCTA5 55412,55412
18486,33.9,13187.0,2533.0,52596.0,37281.0,8450.0,486.0,947.0,1559.0,ZCTA5 55413,55413
18487,22.3,32488.0,13249.0,33012.0,19179.0,19350.0,1612.0,907.0,1723.0,ZCTA5 55414,55414
18488,33.0,4210.0,643.0,82308.0,48874.0,1788.0,272.0,1252.0,2310.0,ZCTA5 55415,55415
18489,36.3,30967.0,1806.0,76991.0,56804.0,19668.0,650.0,1127.0,1931.0,ZCTA5 55416,55416
18490,38.9,26008.0,1861.0,77569.0,39728.0,15369.0,522.0,994.0,1615.0,ZCTA5 55417,55417
18491,34.9,30676.0,4296.0,61760.0,33078.0,17978.0,805.0,919.0,1471.0,ZCTA5 55418,55418
18492,36.8,27390.0,2217.0,98370.0,48877.0,15298.0,740.0,1037.0,2011.0,ZCTA5 55419,55419
18493,38.6,22193.0,2637.0,54588.0,28636.0,11938.0,870.0,937.0,1434.0,ZCTA5 55420,55420
18494,35.9,27767.0,4675.0,48294.0,26567.0,14320.0,1260.0,910.0,1302.0,ZCTA5 55421,55421
18495,40.1,28889.0,3109.0,65343.0,36080.0,15110.0,858.0,1004.0,1471.0,ZCTA5 55422,55422
18496,36.0,36166.0,4185.0,54573.0,29719.0,19402.0,1130.0,898.0,1492.0,ZCTA5 55423,55423
18497,41.8,9860.0,377.0,161500.0,83119.0,4680.0,193.0,1060.0,2978.0,ZCTA5 55424,55424
18498,36.9,10075.0,1276.0,54027.0,26872.0,5367.0,269.0,968.0,1524.0,ZCTA5 55425,55425
18499,35.4,25971.0,2347.0,63242.0,36181.0,15213.0,738.0,994.0,1541.0,ZCTA5 55426,55426
18500,40.7,22733.0,1594.0,69640.0,37612.0,12745.0,720.0,904.0,1578.0,ZCTA5 55427,55427
18501,36.0,31354.0,3936.0,46808.0,24606.0,14895.0,799.0,896.0,1403.0,ZCTA5 55428,55428
