,"City, State",Median Age Percentile,Poverty Count Percentile,Median Household Income Percentile,Employed Percentile,Monthly Rent Percentile,Owner Monthly Costs Percentile,Year
4,"Jamaica, NY",13.371951516331597,99.29416346200652,63.20887893686414,99.37204887309545,92.02161320157718,95.14189748332765,2016
0,"Austin, TX",10.538869687971571,99.88803972155965,82.9138879423648,99.93185026529719,86.12179331159032,87.91315776663583,2012
1,"Austin, TX",10.903957552450956,99.88803972155965,83.90692693374872,99.93185026529719,86.7351409239157,89.05223190381152,2013
2,"Austin, TX",11.600058414058317,99.89290755975271,84.72472375018255,99.93185026529719,87.4945236820328,89.83595385289394,2014
3,"Austin, TX",12.466533612422722,99.87830404517354,86.06824709146667,99.93671810349024,89.51954437034513,90.55639390546658,2015
4,"Austin, TX",13.347612325366304,99.86856836878742,86.78381930584628,99.93185026529719,90.54179039088741,91.31090882539064,2016
0,"Bradenton, FL",82.56340359246458,99.16759966898701,78.28944165895926,99.19680669814535,89.56822275227572,85.34293920070097,2012
1,"Bradenton, FL",83.60998880397216,99.20167453633842,75.49043469795065,99.16759966898701,89.1836635350241,84.08216910869882,2013
2,"Bradenton, FL",82.40763277028671,99.20654237453147,78.13853867497444,99.21141021272453,89.41731976829091,81.9159811127878,2014
3,"Bradenton, FL",83.72681692060556,99.26495643284817,76.11838582485518,99.23088156549676,89.39298057732562,81.34644404419997,2015
4,"Bradenton, FL",83.16701552840384,99.28442778562041,76.48834152752762,99.22601372730371,91.92669035681254,80.04429732755683,2016
0,"Charlotte, NC",10.042350192279608,99.8247578250499,71.79574550941926,99.8831718833666,76.94105047948206,78.77135764007204,2012
1,"Charlotte, NC",9.823297473591978,99.8247578250499,71.32843304288565,99.8831718833666,77.23798860925862,78.48415518668159,2013
2,"Charlotte, NC",10.110499926982428,99.82962566324295,72.66222070778367,99.8831718833666,78.31378084992456,78.73241493452758,2014
3,"Charlotte, NC",10.134839117947719,99.82962566324295,73.06625127780752,99.8831718833666,79.85201771893102,78.47441951029548,2015
4,"Charlotte, NC",9.81842963539892,99.82962566324295,75.48069902156452,99.8831718833666,81.78454948157523,78.53283356861218,2016
0,"Alexandria, VA",23.56033685440296,98.69541936426033,95.86233753590031,99.6592513264859,97.40057440490678,94.65024582582875,2012
1,"Alexandria, VA",22.017232147203426,98.76356909896315,96.5194956919632,99.66898700287203,97.62449496178748,94.98125882295672,2013
2,"Alexandria, VA",21.40875237307112,98.83658667185902,96.50976001557709,99.67385484106508,97.69264469649029,95.08835126320402,2014
3,"Alexandria, VA",19.66606629995619,98.80737964270068,96.61685245582437,99.67872267925814,98.12101445747943,95.20517937983742,2015
4,"Alexandria, VA",20.147982281068977,99.00209317042301,96.3685927079784,99.66898700287203,98.1599571630239,95.53132453877232,2016
